1163,1018
1163,983
1163,595
381,8766
381,9727
381,84440
378,9727
378,117177
6678,1281
51185,1642
51185,1452
51185,10320
51185,8451
51185,22806
9048,2676
11255,6455
11255,6456
5558,6118
6917,5430
6917,5432
6917,11338
6917,1025
6917,10614
6917,904
6917,6908
3563,3562
5573,57379
5573,5139
5573,10565
5573,5566
5573,10564
56681,22926
6389,54949
6732,5936
8996,7157
9727,8766
9727,117177
9727,5298
9727,382
22841,8766
9859,55755
9859,284403
84440,8766
84440,382
123169,79577
30827,84661
6696,836
6696,841
8318,4175
8318,4171
8318,26013
8318,84296
998,81565
998,7454
998,392
998,9826
998,4068
998,11153
998,57580
998,10458
998,8826
998,5058
998,8874
998,50649
64135,57506
64135,54941
64135,9474
64135,79132
64135,9641
64135,9140
1660,23028
1660,27161
3146,7157
3146,3553
79443,81631
79443,3799
79443,64837
10036,3020
10036,8352
10036,333932
8208,25842
8208,55723
8208,8352
4102,10059
440068,834
2079,29074
2079,5303
2079,6634
274,775
7343,860
7343,7088
7343,5925
1785,654364
1785,4830
6249,51807
6249,10381
6249,22924
6249,81027
6249,7846
6249,7278
6249,203068
6249,22919
6249,1639
9353,6091
4583,10551
81608,79577
55143,332
55143,3619
55143,9212
4582,3091
4582,2033
960,6401
960,928
961,6418
958,7186
958,7187
23011,27342
8115,3726
8115,3725
8115,2033
8115,2353
9470,5936
9470,2034
6907,2874
6907,9612
1894,10733
1894,29127
1894,999
1894,9493
1894,1495
3075,718
8087,80254
811,3133
811,6513
811,2244
629,718
9521,4141
5411,10921
5411,10284
51542,55275
51542,6293
51542,738
3109,3108
2130,2033
2130,10524
79084,5432
79084,9757
79084,10419
3108,3111
3108,3112
1948,2043
81858,10616
81858,55072
81858,1147
81858,7124
81858,3551
81858,8517
5523,85407
1728,7157
55845,5879
55845,8936
10594,27044
10594,23020
10594,81605
23568,403
23568,402
24148,6595
79109,207
9271,27044
9271,11022
5617,5618
5617,649
9575,4297
6495,2139
9734,50943
51266,10630
5971,6597
5971,10013
5971,8237
5971,23633
5971,3838
5971,5970
5971,86
5971,4790
5971,4791
5971,5977
5971,6598
5971,6601
5970,80854
